"","N_SQ_AD","college"
"1111",750154826,67
"1112",750065252,4
"1113",750058810,67
"1114",750065199,67
"1115",750065525,67
"1116",750065524,67
"1117",750061854,457
"1118",750059437,457
"1119",750065522,67
"1120",750063210,4
"1121",750065083,457
"1122",750059020,67
"1123",750063206,4
"1124",750065526,67
"1125",750065065,329
"1126",750154323,67
"1127",750065530,67
"1128",750154325,67
"1129",750060572,569
"1130",750152690,67
"1131",750058619,329
"1132",750059406,457
"1133",750064311,338
"1134",750058995,67
"1135",750065151,4
"1136",750061859,457
"1137",750144954,67
"1138",750065533,67
"1139",750063189,4
"1140",750058628,329
"1141",750152732,67
"1142",750059367,457
"1143",750062393,457
"1144",750061749,67
"1145",750059442,457
"1146",750058624,329
"1147",750059016,67
"1148",750058627,329
"1149",750061767,67
"1150",750065271,4
"1151",750152687,67
"1152",750059375,457
"1153",750058613,329
"1154",750060570,569
"1155",750058621,329
"1156",750065128,329
"1157",750058620,329
"1158",750172725,4
"1159",750059012,67
"1160",750061755,67
"1161",750065323,67
"1162",750152686,67
"1163",750063370,4
"1164",750059006,67
"1165",750065304,67
"1166",750065536,67
"1167",750142330,67
"1168",750065265,4
"1169",750060556,569
"1170",750152777,67
"1171",750065234,67
"1172",750148056,67
"1173",750063214,4
"1174",750058801,457
"1175",750063212,4
"1176",750059369,457
"1177",750061848,457
"1178",750063363,4
"1179",750065254,4
"1180",750065301,67
"1181",750065428,67
"1182",750058618,329
"1183",750060557,569
"1184",750060564,569
"1185",750058616,329
"1186",750060571,569
"1187",750065541,67
"1188",750065190,67
"1189",750060569,569
"1190",750142331,67
"1191",750152685,67
"1192",750063184,4
"1193",750065346,67
"1194",750065200,67
"1195",750059409,457
"1196",750059372,457
"1197",750152688,67
"1198",750177045,67
"1199",750065192,67
"1200",750152734,67
"1201",750065189,67
"1202",750157450,67
"1203",750064479,457
"1204",750065587,4
"1205",750065553,67
"1206",750058626,329
"1207",750065179,4
"1208",750152750,67
"1209",750065261,4
"1210",750061769,67
"1211",750065435,67
"1212",750061850,457
"1213",750065184,4
"1214",750059407,457
"1215",750063197,4
"1216",750147845,67
"1217",750065555,67
"1218",750063190,4
"1219",750152689,67
"1220",750060562,569
"1221",750063183,4
"1222",750062351,457
"1223",750065296,67
"1224",750060563,569
"1225",750060555,569
"1226",750060560,569
"1227",750060559,569
"1228",750152696,67
"1229",750065131,457
"1230",750058623,329
"1231",750058615,329
"1232",750061756,67
"1233",750154739,67
"1234",750061054,568
"1235",750059918,457
"1236",750065137,457
"1237",750064472,457
"1238",750060084,457
"1239",750152768,67
"1240",750065193,67
"1241",750058814,67
"1242",750061050,568
"1243",750061866,457
"1244",750172728,4
"1245",750065329,67
"1246",750065180,4
"1247",750059379,457
"1248",750061853,457
"1249",750152694,67
"1250",750142328,67
"1251",750064484,457
"1252",750155715,67
"1253",750147847,67
"1254",750059415,457
"1255",750155116,67
"1256",750065535,67
"1257",750064308,338
"1258",750065446,67
"1259",750157454,67
"1260",750152735,67
"1261",750158643,67
"1262",750065309,67
"1263",750152691,67
"1264",750065456,67
"1265",750065060,329
"1266",750143832,4
"1267",750060561,569
"1268",750061432,338
"1269",750065537,67
"1270",750058622,329
"1271",750154326,67
"1272",750058625,329
"1273",750058617,329
"1274",750155137,4
"1275",750152738,67
"1276",750152693,67
"1277",750147190,67
"1278",750065158,4
"1279",750063101,338
"1280",750065237,67
"1281",750060079,457
"1282",750065088,457
"1283",750065170,4
"1284",750064474,457
"1285",750059003,67
"1286",750061863,457
"1287",750060087,569
"1288",750065196,67
"1289",750061849,457
"1290",750062708,457
"1291",750143826,4
"1292",750151871,67
"1293",750065543,67
"1294",750059010,67
"1295",750064314,338
"1296",750063203,4
"1297",750059024,329
"1298",750065478,67
"1299",750064302,338
"1300",750061751,67
"1301",750060103,569
"1302",750064310,338
"1303",750059410,457
"1304",750059015,67
"1305",750060566,569
"1306",750065558,67
"1307",750065186,67
"1308",750065092,457
"1309",750143835,4
"1310",750065269,4
"1311",750157449,67
"1312",750058808,67
"1313",750063362,4
"1314",750142333,67
"1315",750157453,67
"1316",750065080,457
"1317",750177047,67
"1318",750061862,457
"1319",750065311,67
"1320",750065175,4
"1321",750152737,67
"1322",750152704,67
"1323",750065231,67
"1324",750065241,67
"1325",750065564,67
"1326",750065201,67
"1327",750065273,67
"1328",750065270,4
"1329",750061845,457
"1330",750155502,457
"1331",750065178,4
"1332",750065557,67
"1333",750065567,4
"1334",750065183,4
"1335",750065276,67
"1336",750061746,67
"1337",750058998,67
"1338",750142403,67
"1339",750157455,67
"1340",750061867,457
"1341",750064470,457
"1342",750060565,569
"1343",750147798,67
"1344",750152701,67
"1345",750060558,569
"1346",750065449,67
"1347",750065255,4
"1348",750063200,4
"1349",750063220,4
"1350",750065197,67
"1351",750065259,4
"1352",750065187,67
"1353",750058809,67
"1354",750065194,67
"1355",750061852,457
"1356",750058835,329
"1357",750063372,4
"1358",750065272,67
"1359",750063207,4
"1360",750059913,457
"1361",750143825,4
"1362",750065464,67
"1363",750157451,67
"1364",750157469,67
"1365",750065227,67
"1366",750172726,4
"1367",750059022,329
"1368",750064448,457
"1369",750065129,457
"1370",750061745,67
"1371",750059412,457
"1372",750065185,4
"1373",750060682,569
"1374",750059904,457
"1375",750064313,338
"1376",750147846,67
"1377",750064307,338
"1378",750065139,457
"1379",750064309,338
"1380",750061764,67
"1381",750058788,457
"1382",750152702,67
"1383",750065540,67
"1384",750065440,67
"1385",750060568,569
"1386",750065433,67
"1387",750152692,67
"1388",750152677,67
"1389",750061424,338
"1390",750065198,67
"1391",750065124,457
"1392",750061843,457
"1393",750160539,457
"1394",750065211,67
"1395",750064449,457
"1396",750177041,67
"1397",750064464,457
"1398",750065233,67
"1399",750062398,457
"1400",750143829,4
"1401",750065306,67
"1402",750065208,67
"1403",750065332,67
"1404",750062352,457
"1405",750166830,67
"1406",750065150,4
"1407",750058786,457
"1408",750153254,67
"1409",750065337,67
"1410",750065561,67
"1411",750061860,457
"1412",750062395,457
"1413",750152703,67
"1414",750152749,67
