"","X","libelle.complet","index","libelle","numero","rue","arrondissement","N_SQ_AD"
"141",142,"ECOLE ÉLÉMENTAIRE 14 RUE FRANCOIS COPPEE - PARIS 15",142,"ECOLE ÉLÉMENTAIRE","14","RUE FRANCOIS COPPEE",15,750111951
"142",143,"ECOLE MATERNELLE 23 RUE BOULARD - PARIS 14",143,"ECOLE MATERNELLE","23","RUE BOULARD",14,750099350
"143",144,"ECOLE ÉLÉMENTAIRE 46 RUE BOULARD - PARIS 14",144,"ECOLE ÉLÉMENTAIRE","46","RUE BOULARD",14,750099380
"144",145,"ECOLE MATERNELLE 5 RUE LACORDAIRE - PARIS 15",145,"ECOLE MATERNELLE","5","RUE LACORDAIRE",15,750113620
"145",146,"ECOLE ÉLÉMENTAIRE 7 RUE LACORDAIRE - PARIS 15",146,"ECOLE ÉLÉMENTAIRE","7","RUE LACORDAIRE",15,750113621
"146",147,"ECOLE MATERNELLE 64 RUE CHARDON LAGACHE - PARIS 16",147,"ECOLE MATERNELLE","64","RUE CHARDON LAGACHE",16,750120663
"147",148,"ECOLE ÉLÉMENTAIRE 20 RUE DE MUSSET - PARIS 16",148,"ECOLE ÉLÉMENTAIRE","20","RUE DE MUSSET",16,750126729
"148",149,"ECOLE MATERNELLE 56 RUE BOISSIERE - PARIS 16",149,"ECOLE MATERNELLE","56","RUE BOISSIERE",16,750120106
"149",150,"ECOLE ÉLÉMENTAIRE 21 RUE DE L'AMIRAL HAMELIN - PARIS 16",150,"ECOLE ÉLÉMENTAIRE","21","RUE DE L'AMIRAL HAMELIN",16,750161295
"150",151,"ECOLE MATERNELLE 15 RUE ANTOINE CHANTIN - PARIS 14",151,"ECOLE MATERNELLE","15","RUE ANTOINE CHANTIN",14,750098783
"151",152,"ECOLE ÉLÉMENTAIRE 20 RUE ANTOINE CHANTIN - PARIS 14",152,"ECOLE ÉLÉMENTAIRE","20","RUE ANTOINE CHANTIN",14,750098802
"152",153,"ECOLE MATERNELLE 25 RUE DE PASSY - PARIS 16",153,"ECOLE MATERNELLE","25","RUE DE PASSY",16,750127042
"153",154,"ECOLE ÉLÉMENTAIRE 8 RUE CHERNOVIZ - PARIS 16",154,"ECOLE ÉLÉMENTAIRE","8","RUE CHERNOVIZ",16,750120732
