"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"3423","2596","RUE","DAUTANCOURT",0,"",9999,"","i","Ecole maternelle 16 RUE DAUTANCOURT - PARIS 17"
"3424","2596","RUE","DAUTANCOURT",0,"",9999,"","p","Ecole maternelle 16 RUE DAUTANCOURT - PARIS 17"
"3425","2598","RUE","DAVAL",0,"",9999,"","i","Ecole maternelle 4 PASSAGE BULLOURDE - PARIS 11"
"3426","2598","RUE","DAVAL",0,"",9999,"","p","Ecole maternelle 4 PASSAGE BULLOURDE - PARIS 11"
"3427","2601","RUE","DAVID D ANGERS",0,"",37,"","i","Ecole maternelle 34 RUE MANIN - PARIS 19"
"3428","2601","RUE","DAVID D ANGERS",37,"",9999,"","i","Ecole maternelle 9 RUE DU GENERAL BRUNET - PARIS 19"
"3429","2601","RUE","DAVID D ANGERS",0,"",9999,"","p","Ecole maternelle 34 RUE MANIN - PARIS 19"
"3430","2602","AVENUE","DAVID WEILL",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"3431","2602","AVENUE","DAVID WEILL",0,"",9999,"","p","Ecole maternelle 55 RUE SARRETTE - PARIS 14"
"3432","2603","RUE","DAVIEL",0,"",9999,"","i","Ecole maternelle 16 RUE WURTZ - PARIS 13"
"3433","2603","RUE","DAVIEL",0,"",9999,"","p","Ecole maternelle 16 RUE WURTZ - PARIS 13"
"3434","2604","VILLA","DAVIEL",0,"",9999,"","i","Ecole maternelle 16 RUE WURTZ - PARIS 13"
"3435","2604","VILLA","DAVIEL",0,"",9999,"","p","Ecole maternelle 16 RUE WURTZ - PARIS 13"
"3436","2606","RUE","DAVIOUD",0,"",9999,"","i","Ecole maternelle 5 RUE GUSTAVE ZEDE - PARIS 16"
"3437","2606","RUE","DAVIOUD",0,"",9999,"","p","Ecole maternelle 5 RUE GUSTAVE ZEDE - PARIS 16"
"3438","2608","BOULEVARD","DAVOUT",0,"",25,"","i","Ecole élémentaire 51 BD DAVOUT - PARIS 20"
"3439","2608","BOULEVARD","DAVOUT",25,"",97,"","i","Ecole élémentaire 51 BD DAVOUT - PARIS 20"
"3440","2608","BOULEVARD","DAVOUT",97,"",9999,"","i","Ecole maternelle 9 RUE MOURAUD - PARIS 20"
"3441","2608","BOULEVARD","DAVOUT",0,"",72,"","p","Ecole maternelle 18 RUE MARYSE HILSZ - PARIS 20"
"3442","2608","BOULEVARD","DAVOUT",72,"",9999,"","p","Ecole maternelle 2 RUE EUGENE REISZ - PARIS 20"
"3443","2611","RUE","DAVY",0,"",9999,"","i","Ecole maternelle 16 RUE DAUTANCOURT - PARIS 17"
"3444","2611","RUE","DAVY",0,"",9999,"","p","Ecole maternelle 21 RUE DU CAPITAINE LAGACHE - PARIS 17"
"3445","2620","RUE DU","DEBARCADERE",0,"",9999,"","i","Ecole maternelle 16 RUE DU COLONEL MOLL - PARIS 17"
"3446","2620","RUE DU","DEBARCADERE",0,"",9999,"","p","Ecole maternelle 16 RUE DU COLONEL MOLL - PARIS 17"
"3447","2622","RUE","DEBELLEYME",0,"",9,"","i","Ecole maternelle 7 RUE DE LA PERLE - PARIS 03"
"3448","2622","RUE","DEBELLEYME",9,"",9999,"","i","Ecole maternelle 7 RUE DE LA PERLE - PARIS 03"
"3449","2622","RUE","DEBELLEYME",0,"",18,"","p","Ecole maternelle 7 RUE DE LA PERLE - PARIS 03"
"3450","2622","RUE","DEBELLEYME",18,"",9999,"","p","Ecole maternelle 7 RUE DE LA PERLE - PARIS 03"
"3451","2624","CITE","DEBERGUE",0,"",9999,"","i","Ecole maternelle 16 RUE MARSOULAN - PARIS 12"
"3452","2624","CITE","DEBERGUE",0,"",9999,"","p","Ecole maternelle 16 RUE MARSOULAN - PARIS 12"
"3453","2626","AVENUE","DEBIDOUR",0,"",9999,"","i","Ecole maternelle 29 RUE DE LA PREVOYANCE - PARIS 19"
"3454","2626","AVENUE","DEBIDOUR",0,"",9999,"","p","Ecole maternelle 29 RUE DE LA PREVOYANCE - PARIS 19"
"3455","2628","COUR","DEBILLE",0,"",9999,"","i","Ecole maternelle 31 RUE GODEFROY CAVAIGNAC - PARIS 11"
"3456","2628","COUR","DEBILLE",0,"",9999,"","p","Ecole maternelle 31 RUE GODEFROY CAVAIGNAC - PARIS 11"
"3457","2632","PORT","DEBILLY",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
