"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"10417","7070","PLACE ","PAUL DELOUVRIER",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"10418","7070","PLACE ","PAUL DELOUVRIER",0,"",9999,"","p","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"10419","7073","AVENUE","PAUL DEROULEDE",0,"",9999,"","i","Ecole élémentaire 3 PLACE DU CARDINAL AMETTE - PARIS 15"
"10420","7073","AVENUE","PAUL DEROULEDE",0,"",9999,"","p","Ecole élémentaire 3 PLACE DU CARDINAL AMETTE - PARIS 15"
"10421","7081","AVENUE","PAUL DOUMER",0,"",79,"","i","Ecole élémentaire 8 RUE CHERNOVIZ - PARIS 16"
"10422","7081","AVENUE","PAUL DOUMER",79,"",9999,"","i","Ecole élémentaire 8 RUE CHERNOVIZ - PARIS 16"
"10423","7081","AVENUE","PAUL DOUMER",0,"",80,"","p","Ecole élémentaire 4 RUE DECAMPS - PARIS 16"
"10424","7081","AVENUE","PAUL DOUMER",80,"",9999,"","p","Ecole élémentaire 15 RUE DES BAUCHES - PARIS 16"
"10425","7083","RUE","PAUL DUBOIS",0,"",9999,"","i","Ecole élémentaire 3 RUE BERANGER - PARIS 03"
"10426","7083","RUE","PAUL DUBOIS",0,"",9999,"","p","Ecole élémentaire 3 RUE BERANGER - PARIS 03"
"10427","7084","PLACE","PAUL EMILE VICTOR",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
